Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Código SNIES del programa;Programa Académico;ID Nivel Académico;Nivel Académico;ID Nivel de Formación;Nivel de Formación;ID Metodología;Metodología;ID Área;Área de Conocimiento;Id_Nucleo;Núcleo Básico del Conocimiento (NBC);ID CINE Campo Amplio;Desc CINE Campo Amplio;ID CINE Campo Especifico;Desc CINE Campo Especifico;ID CINE Código Detallado;Desc CINE Código Detallado;Código del Departamento (Programa);Departamento de oferta del programa;Código del Municipio (Programa);Municipio de oferta del programa;ID Sexo;Sexo;Año;Semestre;Admitidos
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;INGENIERIA AGRONOMICA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA ARQUITECTURA URBANISMO Y AFINES;824;INGENIERIA AGRONOMICA PECUARIA Y AFINES;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;1;20
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;INGENIERIA AGRONOMICA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA ARQUITECTURA URBANISMO Y AFINES;824;INGENIERIA AGRONOMICA PECUARIA Y AFINES;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;2;20
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;INGENIERIA AGRONOMICA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA ARQUITECTURA URBANISMO Y AFINES;824;INGENIERIA AGRONOMICA PECUARIA Y AFINES;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;1;68
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;INGENIERIA AGRONOMICA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA ARQUITECTURA URBANISMO Y AFINES;824;INGENIERIA AGRONOMICA PECUARIA Y AFINES;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;2;71
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;MEDICINA VETERINARIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;1;AGRONOMIA VETERINARIA Y AFINES;13;MEDICINA VETERINARIA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;1;19
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;MEDICINA VETERINARIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;1;AGRONOMIA VETERINARIA Y AFINES;13;MEDICINA VETERINARIA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;2;26
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;MEDICINA VETERINARIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;1;AGRONOMIA VETERINARIA Y AFINES;13;MEDICINA VETERINARIA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;1;32
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;MEDICINA VETERINARIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;1;AGRONOMIA VETERINARIA Y AFINES;13;MEDICINA VETERINARIA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;2;29
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;3;ZOOTECNIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;1;AGRONOMIA VETERINARIA Y AFINES;12;ZOOTECNIA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;1;15
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;3;ZOOTECNIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;1;AGRONOMIA VETERINARIA Y AFINES;12;ZOOTECNIA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;2;28
